ID,4CO_ID,Status,Name,Num turbines,Turbine capacity,Total IC,Composite,Shares IC with
203,NO39,Development Zone,Sørlige Nordsjø II - phase 1,,,500-1500,,
204,UK6V,Development Zone,INTOG (Ea),,,633,,
205,UK74,Consent Application Submitted,Berwick Bank,307,,1400-4100,,
206,UK56,Under Construction,Neart na Gaoithe,54,8.2962962962963,448,,
207,UK54,Consent Authorised,Inch Cape,72,15,1080,,
208,UK44,Under Construction,Seagreen,114,,1075-1140,,
209,UK4P,Consent Authorised,Seagreen 1A,36,13.8888888888889,500,,
210,UK4N,Operational,Kincardine - phase 2,5,9.6,48,,
211,UK6D,Concept,Cluaran Deas Ear,,,1008,,
212,UK97,Concept,Morven,,,2907,,
213,UK98,Concept,Ossian,240,,2600-3600,,
214,UK99,Concept,Bellrock,75,16,1200,,
215,UK6B,Concept,CampionWind,,,2000,,
216,UK6C,Concept,Muir Mhòr,,,798,,
217,UK47,Operational,Aberdeen (EOWDC),11,8.47272727272727,93.2,,
218,UK76,Operational,Hywind Scotland Pilot Park,5,6,30,,
219,UK5F,Concept,Salamander,5,20,100,,
220,UK6W,Development Zone,INTOG (Eb),,,633,,
221,UK6I,Concept,MarramWind,,,3000,,
222,UK77,Consent Authorised,Moray West,60,14.7,882,222,
223,UK40,Operational,Moray East,100,9.5,950,222,
224,UK53,Operational,Beatrice,84,6.64285714285714,558,222,
225,UK6G,Concept,Caledonia Offshore Wind Farm,84-150,,2000,222,
226,UK6H,Concept,Broadshore,31,29.0322580645161,900,,
227,UK6J,Concept,Buchan Offshore Wind,60,16,960,,
228,UK6F,Concept,Stromar,62,16.1290322580645,1000,,
229,UK6E,Concept,Cluaran Ear-Thuath,,,1008,,
230,UK6X,Development Zone,INTOG (Ned),,,633,,
231,UK6Y,Development Zone,INTOG (Nec),,,633,,
232,NO65,Development Zone,Utsira nord - phase 3,,,500,,
233,NO64,Development Zone,Utsira nord - phase 2,,,500,,
234,NO44,Development Zone,Utsira nord - phase 1,,,500,,
235,NO72,Concept,Trollvind,,,1000,,
236,UK7S,Concept,Shetland NE1 - Ocean Winds,,,500,,
237,UK7T,Concept,Arven Offshore Wind Farm,,,1800,,
238,UK7U,Concept,Shetland NE1 - ESB Asset Development,,,500,,
